gvkey,datadate,fyear,tic,conm,curcd,at,bkvlps,ebitda,epspi,lt,revt,txpd,wcapch,prcc_c,state
14027,19870228,1986,CLH,CLEAN HARBORS INC,USD,33.161,12.7963,6.375,6.3,29.706,46.723,,,,MA
14027,19880229,1987,CLH,CLEAN HARBORS INC,USD,45.211,3.0407,10.736,0.66,24.832,73.514,3.695,,12.75,MA
14027,19890228,1988,CLH,CLEAN HARBORS INC,USD,132.549,6.4696,9.632,0.33,74.426,95.679,3.108,,18.75,MA
14027,19900228,1989,CLH,CLEAN HARBORS INC,USD,157.937,6.5938,12.168,0.08,98.606,131.441,0.686,,11,MA
14027,19910228,1990,CLH,CLEAN HARBORS INC,USD,135.881,5.195,20.466,-1.4,89.105,142.906,0.431,,6.25,MA
14027,19911231,1991,CLH,CLEAN HARBORS INC,USD,138.844,5.5908,17.683,0.37,88.057,127.473,1.549,,11.25,MA
14027,19921231,1992,CLH,CLEAN HARBORS INC,USD,153.939,6.2255,23.797,0.52,95.874,176.193,2.697,,12,MA
14027,19931231,1993,CLH,CLEAN HARBORS INC,USD,167.358,6.5533,23.268,0.28,99.987,200.114,2.117,,7.125,MA
14027,19941231,1994,CLH,CLEAN HARBORS INC,USD,159.875,6.545,22.031,0,92.549,207.073,1.585,,3.937,MA
14027,19951231,1995,CLH,CLEAN HARBORS INC,USD,178.316,5.7506,12.897,-0.77,117.942,209.25,1.41,,2.5,MA
14027,19961231,1996,CLH,CLEAN HARBORS INC,USD,177.997,4.925,9.279,-0.77,124.413,200.213,-0.43,,2.25,MA
14027,19971231,1997,CLH,CLEAN HARBORS INC,USD,154.945,3.408,8.727,-1.42,114.921,183.767,0.421,,1.562,MA
14027,19981231,1998,CLH,CLEAN HARBORS INC,USD,145.91,2.9469,14.081,-0.42,109.6,197.439,-0.201,,1.5,MA
14027,19991231,1999,CLH,CLEAN HARBORS INC,USD,145.247,2.646,15.818,-0.25,111.076,202.965,-1.236,,1.25,MA
14027,20001231,2000,CLH,CLEAN HARBORS INC,USD,149.568,3.2128,24.925,0.6,107.933,233.466,0.381,,1.7813,MA
14027,20011231,2001,CLH,CLEAN HARBORS INC,USD,151.721,3.8284,29.056,0.45,102.152,251.601,0.696,,3.37,MA
14027,20021231,2002,CLH,CLEAN HARBORS INC,USD,559.69,,34.471,-2.42,524.365,350.133,2.683,,15.56,MA
14027,20031231,2003,CLH,CLEAN HARBORS INC,USD,540.159,-0.4857,38.504,-1.52,515.215,610.969,3.943,,8.91,MA
14027,20041231,2004,CLH,CLEAN HARBORS INC,USD,504.702,0.5261,63.478,-0.65,493.664,643.219,2.772,,15.09,MA
14027,20051231,2005,CLH,CLEAN HARBORS INC,USD,614.364,5.7954,78.492,1.62,498.706,711.17,3.455,,28.81,MA
14027,20061231,2006,CLH,CLEAN HARBORS INC,USD,670.808,8.6201,109.715,2.38,497.622,829.809,5.356,,48.41,MA
14027,20071231,2007,CLH,CLEAN HARBORS INC,USD,769.888,9.9812,133.297,2.22,566.991,946.917,13.941,,51.7,MA
14027,20081231,2008,CLH,CLEAN HARBORS INC,USD,898.336,18.078,163.219,2.56,469.291,1030.713,36.52,,63.44,MA
14027,20091231,2009,CLH,CLEAN HARBORS INC,USD,1401.068,23.4007,165.68,1.48,787.243,1074.22,14.608,,59.61,MA
14027,20101231,2010,CLH,CLEAN HARBORS INC,USD,1602.475,29.5925,314.792,4.96,821.648,1731.244,56.015,,84.08,MA
14027,20111231,2011,CLH,CLEAN HARBORS INC,USD,2085.803,16.9413,354.408,2.4,1184.816,1984.136,48.725,,63.73,MA
14027,20121231,2012,CLH,CLEAN HARBORS INC,USD,3825.806,23.7157,380.467,2.41,2393.734,2187.908,13.179,,55.01,MA
14027,20131231,2013,CLH,CLEAN HARBORS INC,USD,3953.678,24.3216,530.705,1.58,2478.039,3519.815,-8.162,,59.96,MA
14027,20141231,2014,CLH,CLEAN HARBORS INC,USD,3704.278,21.4398,533.019,-0.47,2441.407,3401.636,42.022,,48.05,MA
14027,20151231,2015,CLH,CLEAN HARBORS INC,USD,3431.428,19.035,515.767,0.76,2335.146,3275.137,52.97,,41.65,MA
14027,20161231,2016,CLH,CLEAN HARBORS INC,USD,3681.92,18.9228,426.454,-0.69,2597.679,2755.226,29.255,,55.65,MA
14027,20171231,2017,CLH,CLEAN HARBORS INC,USD,3706.57,21.0298,437.057,1.77,2518.368,2944.978,18.682,,54.2,MA
14027,20181231,2018,CLH,CLEAN HARBORS INC,USD,3738.321,20.9457,492.405,1.17,2568.565,3300.303,20.036,,49.35,MA
14477,19871231,1987,WM,WASTE MANAGEMENT INC,USD,2.137,0.3983,0.759,0.26,1.536,1.682,,-0.226,,TX
